Sample;1;1;1;2;2;2;3;3;3
Label;Sin-Fermentar;Sin-Fermentar;Sin-Fermentar;Fermentado;Fermentado;Fermentado;Tostado;Tostado;Tostado
Glucose;8550,907435;10385,48731;8838,205586;253602,0915;219122,4267;211794,2128;0;0;0
Acetophenone;358085,7833;256762,5303;317697,1414;386081,1898;331583,56;348769,0937;122637,0411;191017,9886;121444,7085
Fructose;48377,09582;36343,05248;37420,16244;139017,3716;131433,5075;106679,9728;256311,8166;283289,7348;303411,4151
L-Aspartic acid;472136,7107;409824,7605;413875,5252;2799300,247;2277961,891;2251686,771;0;0;0
Acetic acid;260328,8479;250364,7979;253007,2356;1463125,274;1266698,123;1236171,684;0;0;0
Lactic acid;25552,19116;26613,45287;17829,58161;847946,3061;689555,2057;685245,3367;0;0;0
Ethanol;16021,70342;20630,76307;12393,15069;603927,2374;497086,4878;500149,0469;0;0;0
Alanine;77357,99736;80913,91091;93130,46596;251438,3343;268288,2817;287184,3013;0;0;0
Pyruvic acid;36358,20095;41492,12234;27751,39507;1297604,049;1036804,789;1044126,782;0;0;0
L-Phenylalanine;267075,9263;193513,8772;218956,4085;1339964,746;1520804,392;1432625,046;248449,0537;736477,7167;222089,2854
Citric acid;21261,72317;22751,27966;15508,57226;593772,7607;509363,742;486140,2411;0;0;0
Succinate;16043,66254;23685,41662;15346,42586;148080,5757;102944,1263;121069,4983;0;0;0
Serine;17571,93765;17052,92601;15798,83983;69429,47046;66223,82318;67942,77452;0;0;0
Oxalic acid;74008,365;173313,1251;171093,4508;579582,2621;765672,6815;817682,3153;0;0;0
Glutamate;0;0;0;106254,2132;104659,7347;116182,062;0;0;0
Chlorogenic acid;443703,0753;378683,7421;579408,7177;1063278,409;1195820,791;1303888,023;0;0;0
2,3 Butanediol;63115,98774;119012,4285;65721,20171;44200,42293;45568,31953;41912,6478;9016,241274;13110,45417;8584,289525
Proline;588567,0225;600005,7393;601261,3325;374052,5032;357008,2523;407791,7082;0;0;0
Ferulic acid;0;0;0;18897,22036;14611,38478;13539,74642;0;0;0
Naringenin ;57552,33749;39786,9796;51002,42824;607463,7253;588281,606;538711,3841;39629,30576;181082,8429;49955,18317
